"Chemical","CASRN","DTXSID","INCHIKEY","name","pod.med","pod.med.lb"
"Aluminum Phosphate Salts","7784-30-7","DTXSID5064839","ILRRQNADMUWWFW-UHFFFAOYSA-K","PPRTV",3.88790683117517,3.88790683117517
"4-Amino-2,6-Dinitrotoluene","19406-51-0","DTXSID8074312","KQRJATLINVYHEZ-UHFFFAOYSA-N","PPRTV",0.3,0.00333333333333333
"2-Amino-4,6-Dinitrotoluene","35572-78-2","DTXSID6044068","IEEJAAUSLQCGJH-UHFFFAOYSA-N","PPRTV",0.3,0.00333333333333333
"Ammonium Picrate","131-74-8","DTXSID50872815","PADMMUFPGNGRGI-UHFFFAOYSA-N","PPRTV",0.643,0.0643
"Benzo[e]pyrene (BeP)","192-97-2","DTXSID3023764","TXVHTIQJNYSSKO-UHFFFAOYSA-N","PPRTV",0.0224904590320054,0.00224904590320054
"2,3-Benzofluorene","243-17-4","DTXSID1022477","HAPOJKSPCGLOOD-UHFFFAOYSA-N","PPRTV",16.3,0.163
"1-Bromo-2-chloroethane","107-04-0","DTXSID4024775","IBYHHJPAARCAIE-UHFFFAOYSA-N","PPRTV",0.3,0.003
"1-Bromo-3-fluorobenzene","1073-06-9","DTXSID9061461","QDFKKJYEIFBEFC-UHFFFAOYSA-N","PPRTV",1,0.01
"p-Bromofluorobenzene","460-00-4","DTXSID4027153","AITNMTXHTIIIBB-UHFFFAOYSA-N","PPRTV",1,0.01
"tert-Butyl Formate","762-75-4","DTXSID4024690","RUPAXCPQAAOIPB-UHFFFAOYSA-N","PPRTV",23,0.023
"p,p'-DDD","72-54-8","DTXSID4020373","AHJKRLASYNVKDZ-UHFFFAOYSA-N","PPRTV",0.01,0.001
"Dibenzothiophene","132-65-0","DTXSID0047741","IYYZUPMFVPLQIF-UHFFFAOYSA-N","PPRTV",1.04,0.104
"cis-1,2-Dichloroethylene","156-59-2","DTXSID2024030","KFUSEUYYWQURPO-UPHRSURJSA-N","PPRTV",NA,NA
"2,2-Difluoropropane","420-45-1","DTXSID60870529","YZXSQDNPKVBDOG-UHFFFAOYSA-N","PPRTV",NA,NA
"3,5-Dinitroaniline","618-87-1","DTXSID0044151","MPBZUKLDHPOCLS-UHFFFAOYSA-N","PPRTV",0.11,0.011
"n-Heptanal","111-71-7","DTXSID0021597","FXHGMKSSBGDXIY-UHFFFAOYSA-N","PPRTV",NA,NA
"delta-Hexachlorocyclohexane","319-86-8","DTXSID5024134","JLYXXMFPNIAWKQ-GPIVLXJGNA-N","PPRTV",1.7e-05,1.7e-06
"4-Methyl-2-Pentanol","108-11-2","DTXSID2026781","WVYWICLMDOOCFB-UHFFFAOYNA-N","PPRTV",NA,NA
"Pentamethylphosphoramide (PMPA)","10159-46-3","DTXSID60144035","JSJBYUNWLNWERF-UHFFFAOYSA-N","PPRTV",0.29,0.0029
"Perylene","198-55-0","DTXSID4047753","CSHWQDPOILHKBI-UHFFFAOYSA-N","PPRTV",0.0224904590320054,0.00224904590320054
"1-Phenyl-1-(2,4-dimethylphenyl)-ethane (PXE)","6165-52-2","DTXSID50884231","JOUBGGHXBLOLFY-UHFFFAOYNA-N","PPRTV",NA,NA
"1-Phenyl-1-(4-methylphenyl)-ethane (PTE)","3717-68-8","DTXSID101027177","BOKDBSJFKVOFBS-UHFFFAOYNA-N","PPRTV",NA,NA
"Picric Acid (2,4,6-Trinitrophenol)","88-89-1","DTXSID4025909","OXNIZHLAWKMVMX-UHFFFAOYSA-N","PPRTV",0.643,0.0643
"N,N,N',N'' Tetramethylphosphoramide (TMPA)","16853-36-4","DTXSID80168576","IQICYUQNNRAIMZ-UHFFFAOYSA-N","PPRTV",0.29,0.0029
"2,3-Toluenediamine","2687-25-4","DTXSID4027494","AXNUJYHFQHQZBE-UHFFFAOYSA-N","PPRTV",0.32,0.0032
"3,4-Toluenediamine","496-72-0","DTXSID9024930","DGRGLKZMKWPMOH-UHFFFAOYSA-N","PPRTV",0.32,0.0032
"o-Aminophenol","95-55-6","DTXSID8024498","CDAWCLOXVUBKRW-UHFFFAOYSA-N","PPRTV",12,0.12
"tert-Butylbenzene","98-06-6","DTXSID3047138","YTZKOQUCBOVLHL-UHFFFAOYSA-N","PPRTV",26.8907662339196,2.98786291487995
"sec-Butylbenzene","135-98-8","DTXSID2022333","ZJMWRROPUADPEA-UHFFFAOYNA-N","PPRTV",26.8907662339196,2.98786291487995
"Cyanogen Bromide","506-68-3","DTXSID9021550","ATDGTVJJHBUTRL-UHFFFAOYSA-N","PPRTV",NA,NA
"1,3-Dibromobenzene","108-36-1","DTXSID7051555","JSRLURSZEMLAFO-UHFFFAOYSA-N","PPRTV",1.2,0.012
"n-Heptane","142-82-5","DTXSID6024127","IMNFDUFMRHMDMM-UHFFFAOYSA-N","PPRTV",0.468044168522242,0.00468044168522242
"Methyl Phosphonic Acid","993-13-5","DTXSID5047748","YACKEPLHDIMKIO-UHFFFAOYSA-N","PPRTV",43.7586105079236,1.45862035026412
"Picramic Acid (2-Amino-4,6-dinitrophenol)","96-91-3","DTXSID5024479","QXYMVUZOGFVPGH-UHFFFAOYSA-N","PPRTV",1.2,0.0012
"n-Propylbenzene","103-65-1","DTXSID3042219","ODLMAHJVESYWTB-UHFFFAOYSA-N","PPRTV",23.7372127392144,2.37372127392144
"1,2-Dinitrobenzene","528-29-0","DTXSID4024066","IZUKQUVSCNEFMJ-UHFFFAOYSA-N","PPRTV",0.0977846044869802,0.00325948681623267
"1,4-Dinitrobenzene","100-25-4","DTXSID0021836","FYFDQJRXFWGIBS-UHFFFAOYSA-N","PPRTV",0.0977846044869802,0.00325948681623267
"Thiocyanic Acid","463-56-9","DTXSID7047221","ZMZDMBWJUHKJPS-UHFFFAOYSA-N","PPRTV",0.018,2e-04
"Methyl Acetate","79-20-9","DTXSID4021767","KXKVLQRXCPHEJC-UHFFFAOYSA-N","PPRTV",282.597506967373,28.2597506967373
"Endosulfan Sulfate","1031-07-8","DTXSID3037541","AAPVQEMYVNZIOO-UHFFFAOYNA-N","PPRTV",0.14667690673047,0.14667690673047
"Guanidine","113-00-8","DTXSID0023117","ZRALSGWEFCBTJO-UHFFFAOYSA-N","PPRTV",1.2366795770962,0.12366795770962
"Aluminum Phosphate Salts","7784-30-7","DTXSID5064839","ILRRQNADMUWWFW-UHFFFAOYSA-K","CTV",NA,NA
"4-Amino-2,6-Dinitrotoluene","19406-51-0","DTXSID8074312","KQRJATLINVYHEZ-UHFFFAOYSA-N","CTV",NA,NA
"2-Amino-4,6-Dinitrotoluene","35572-78-2","DTXSID6044068","IEEJAAUSLQCGJH-UHFFFAOYSA-N","CTV",NA,NA
"Ammonium Picrate","131-74-8","DTXSID50872815","PADMMUFPGNGRGI-UHFFFAOYSA-N","CTV",NA,NA
"Benzo[e]pyrene (BeP)","192-97-2","DTXSID3023764","TXVHTIQJNYSSKO-UHFFFAOYSA-N","CTV",NA,NA
"2,3-Benzofluorene","243-17-4","DTXSID1022477","HAPOJKSPCGLOOD-UHFFFAOYSA-N","CTV",NA,NA
"1-Bromo-2-chloroethane","107-04-0","DTXSID4024775","IBYHHJPAARCAIE-UHFFFAOYSA-N","CTV",1.81081368504599,0.0347226081722115
